id,rating,title,content,author,date,helpful_votes,verified_purchase
1,5,운동할 때도 안 빠져요,장시간 착용해도 귀에 압박감이 거의 없습니다. 이어팁 사이즈도 다양해서 좋네요.,홍*기,2025-04-09,34,true
2,3,통화 품질이 아쉽네요,사람이 많은 곳에 가면 가끔 소리가 끊깁니다. 펌웨어 업데이트로 해결됐으면 좋겠어요.,윤*아,2025-08-15,29,true
3,5,운동할 때도 안 빠져요,이어폰이 가벼워서 낀 듯 안 낀 듯 편안합니다. 잠들기 전에도 자주 쓰게 되네요.,서*윤,2025-11-09,37,true
4,3,운동할 때도 안 빠져요,이어폰이 가벼워서 낀 듯 안 낀 듯 편안합니다. 잠들기 전에도 자주 쓰게 되네요.,김*수,2025-10-21,29,true
5,5,하루 종일 써도 충분합니다,출퇴근할 때만 써서 그런지 일주일에 한 번만 충전해도 충분하네요. 배터리 진짜 오래갑니다.,오*석,2026-03-10,41,true
6,3,통화 품질이 아쉽네요,조용한 곳에선 괜찮은데 외부에서 통화하면 상대방이 제 목소리를 잘 못 듣네요.,홍*기,2025-12-12,3,true
7,4,운동할 때도 안 빠져요,제 귀 모양에 딱 맞아서 차음성도 좋고 착용감도 아주 우수합니다.,장*우,2025-03-28,1,true
8,4,깔끔한 해상력,유선 이어폰 못지않은 해상력을 보여줍니다. 악기 소리가 하나하나 선명하게 들려요.,한*준,2025-09-18,37,true
9,5,배터리 성능 대박,출퇴근할 때만 써서 그런지 일주일에 한 번만 충전해도 충분하네요. 배터리 진짜 오래갑니다.,김*수,2025-12-30,8,true
10,5,노캔 성능 미쳤네요,카페에서 공부할 때 쓰는데 주변 대화 소리가 완벽하게 차단돼서 너무 만족스럽습니다.,이*민,2025-02-10,0,true
11,3,초기 불량인 것 같아요,왼쪽 이어폰에서 미세한 화이트 노이즈가 들립니다. 교환을 받아야 할 것 같네요.,장*우,2026-04-28,12,true
12,5,배터리가 정말 오래가요,출퇴근할 때만 써서 그런지 일주일에 한 번만 충전해도 충분하네요. 배터리 진짜 오래갑니다.,김*수,2025-11-06,11,true
13,4,가볍고 좋습니다,운동할 때 땀이 나도 안정적으로 고정되어 있습니다. 러닝할 때 필수템이에요.,홍*기,2025-11-07,49,true
